Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,15.55,3.042,0.217,0.624
relu,constant,"(50,)",0.001,9.221,2.432,0.539,0.741
relu,constant,"(50,)",0.0001,9.267,2.411,0.534,0.731
relu,constant,"(50,)",1e-05,14.076,2.995,0.295,0.564
relu,constant,"(100,)",0.01,14.505,2.858,0.262,0.647
relu,constant,"(100,)",0.001,10.805,2.561,0.458,0.691
relu,constant,"(100,)",0.0001,8.972,2.34,0.548,0.746
relu,constant,"(100,)",1e-05,12.048,2.612,0.396,0.676
relu,constant,"(150,)",0.01,12.797,2.718,0.347,0.695
relu,constant,"(150,)",0.001,9.693,2.456,0.511,0.732
relu,constant,"(150,)",0.0001,8.872,2.346,0.554,0.747
relu,constant,"(150,)",1e-05,11.483,2.612,0.425,0.69
relu,constant,"(200,)",0.01,14.505,2.786,0.256,0.643
relu,constant,"(200,)",0.001,11.047,2.568,0.442,0.696
relu,constant,"(200,)",0.0001,8.64,2.337,0.567,0.757
relu,constant,"(200,)",1e-05,10.728,2.622,0.466,0.721
relu,constant,"(250,)",0.01,14.415,2.815,0.265,0.643
relu,constant,"(250,)",0.001,10.563,2.535,0.468,0.712
relu,constant,"(250,)",0.0001,8.721,2.363,0.562,0.751
relu,constant,"(250,)",1e-05,10.749,2.59,0.464,0.714
relu,constant,"(300,)",0.01,16.933,2.89,0.13,0.627
relu,constant,"(300,)",0.001,9.691,2.481,0.512,0.729
relu,constant,"(300,)",0.0001,8.798,2.359,0.558,0.749
relu,constant,"(300,)",1e-05,10.75,2.555,0.464,0.713
logistic,constant,"(50,)",0.01,13.384,2.837,0.323,0.642
logistic,constant,"(50,)",0.001,8.918,2.346,0.552,0.747
logistic,constant,"(50,)",0.0001,9.517,2.426,0.524,0.745
logistic,constant,"(50,)",1e-05,21.111,3.735,-0.053,-0.04
logistic,constant,"(100,)",0.01,9.699,2.422,0.511,0.72
logistic,constant,"(100,)",0.001,8.936,2.358,0.551,0.746
logistic,constant,"(100,)",0.0001,9.436,2.431,0.528,0.744
logistic,constant,"(100,)",1e-05,19.493,3.384,0.027,0.508
logistic,constant,"(150,)",0.01,9.675,2.425,0.512,0.721
logistic,constant,"(150,)",0.001,9.001,2.364,0.547,0.744
logistic,constant,"(150,)",0.0001,9.007,2.373,0.548,0.75
logistic,constant,"(150,)",1e-05,20.047,3.51,0.002,-0.015
logistic,constant,"(200,)",0.01,9.47,2.402,0.523,0.729
logistic,constant,"(200,)",0.001,8.905,2.356,0.553,0.747
logistic,constant,"(200,)",0.0001,9.186,2.402,0.54,0.748
logistic,constant,"(200,)",1e-05,18.075,3.38,0.099,0.597
logistic,constant,"(250,)",0.01,9.688,2.434,0.512,0.721
logistic,constant,"(250,)",0.001,8.961,2.363,0.55,0.745
logistic,constant,"(250,)",0.0001,9.05,2.38,0.547,0.748
logistic,constant,"(250,)",1e-05,18.772,3.37,0.064,0.636
logistic,constant,"(300,)",0.01,9.84,2.471,0.504,0.722
logistic,constant,"(300,)",0.001,8.946,2.362,0.55,0.746
logistic,constant,"(300,)",0.0001,8.92,2.365,0.553,0.752
logistic,constant,"(300,)",1e-05,17.535,3.272,0.129,0.638
relu,constant,"(50,10)",0.01,16.642,3.027,0.155,0.599
relu,constant,"(50,10)",0.001,13.308,2.69,0.334,0.665
relu,constant,"(50,10)",0.0001,10.009,2.464,0.496,0.708
relu,constant,"(50,10)",1e-05,15.86,3.159,0.211,0.509
relu,constant,"(100,20)",0.01,12.83,2.757,0.356,0.673
relu,constant,"(100,20)",0.001,9.959,2.472,0.503,0.731
relu,constant,"(100,20)",0.0001,8.579,2.321,0.567,0.753
relu,constant,"(100,20)",1e-05,10.303,2.55,0.481,0.712
relu,constant,"(150,30)",0.01,12.407,2.738,0.369,0.685
relu,constant,"(150,30)",0.001,11.576,2.632,0.416,0.692
relu,constant,"(150,30)",0.0001,9.054,2.431,0.546,0.742
relu,constant,"(150,30)",1e-05,10.298,2.521,0.485,0.712
relu,constant,"(200,40)",0.01,11.734,2.601,0.409,0.689
relu,constant,"(200,40)",0.001,12.227,2.664,0.39,0.663
relu,constant,"(200,40)",0.0001,8.846,2.373,0.556,0.747
relu,constant,"(200,40)",1e-05,9.032,2.449,0.545,0.761
logistic,constant,"(50,10)",0.01,13.333,2.706,0.33,0.666
logistic,constant,"(50,10)",0.001,9.017,2.336,0.547,0.744
logistic,constant,"(50,10)",0.0001,9.577,2.419,0.522,0.746
logistic,constant,"(50,10)",1e-05,22.245,3.895,-0.11,0.231
logistic,constant,"(100,20)",0.01,17.34,3.195,0.131,0.555
logistic,constant,"(100,20)",0.001,9.262,2.375,0.533,0.734
logistic,constant,"(100,20)",0.0001,9.404,2.392,0.53,0.739
logistic,constant,"(100,20)",1e-05,20.627,3.465,-0.029,0.116
logistic,constant,"(150,30)",0.01,16.272,3.121,0.187,0.587
logistic,constant,"(150,30)",0.001,9.187,2.374,0.536,0.737
logistic,constant,"(150,30)",0.0001,8.879,2.345,0.555,0.751
logistic,constant,"(150,30)",1e-05,20.002,3.57,0.002,0.628
logistic,constant,"(200,40)",0.01,12.438,2.71,0.366,0.672
logistic,constant,"(200,40)",0.001,19.967,3.375,0.004,0.69
logistic,constant,"(200,40)",0.0001,8.862,2.367,0.556,0.756
logistic,constant,"(200,40)",1e-05,20.203,3.639,-0.008,0.681
