kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,10.695,2.588,0.463,0.685
RBF,5,0.1,0.01,10.683,2.588,0.464,0.686
RBF,5,0.1,0.1,10.61,2.571,0.467,0.686
RBF,5,0.1,0.5,10.005,2.495,0.5,0.709
RBF,5,0.1,0.8,10.584,2.623,0.472,0.693
RBF,5,0.01,0.001,8.733,2.347,0.56,0.751
RBF,5,0.01,0.01,8.714,2.343,0.561,0.752
RBF,5,0.01,0.1,8.872,2.351,0.553,0.748
RBF,5,0.01,0.5,8.631,2.358,0.567,0.761
RBF,5,0.01,0.8,8.603,2.359,0.568,0.759
RBF,5,0.001,0.001,9.708,2.456,0.513,0.733
RBF,5,0.001,0.01,9.682,2.454,0.514,0.734
RBF,5,0.001,0.1,9.798,2.459,0.509,0.738
RBF,5,0.001,0.5,9.821,2.472,0.508,0.748
RBF,5,0.001,0.8,10.567,2.588,0.472,0.738
RBF,5,0.0001,0.001,15.604,3.036,0.222,0.729
RBF,5,0.0001,0.01,15.595,3.036,0.223,0.731
RBF,5,0.0001,0.1,15.505,3.041,0.226,0.73
RBF,5,0.0001,0.5,15.917,3.07,0.205,0.735
RBF,5,0.0001,0.8,16.419,3.159,0.181,0.728
RBF,10,0.1,0.001,11.234,2.669,0.437,0.671
RBF,10,0.1,0.01,11.221,2.666,0.438,0.671
RBF,10,0.1,0.1,10.917,2.619,0.453,0.679
RBF,10,0.1,0.5,10.298,2.505,0.485,0.698
RBF,10,0.1,0.8,10.618,2.614,0.47,0.691
RBF,10,0.01,0.001,8.755,2.349,0.558,0.75
RBF,10,0.01,0.01,8.775,2.355,0.558,0.749
RBF,10,0.01,0.1,8.896,2.354,0.552,0.746
RBF,10,0.01,0.5,8.462,2.337,0.576,0.765
RBF,10,0.01,0.8,8.569,2.342,0.57,0.758
RBF,10,0.001,0.001,9.466,2.41,0.523,0.732
RBF,10,0.001,0.01,9.476,2.41,0.522,0.733
RBF,10,0.001,0.1,9.4,2.415,0.527,0.733
RBF,10,0.001,0.5,9.452,2.436,0.526,0.743
RBF,10,0.001,0.8,9.428,2.452,0.527,0.74
RBF,10,0.0001,0.001,12.862,2.77,0.358,0.735
RBF,10,0.0001,0.01,12.884,2.772,0.357,0.735
RBF,10,0.0001,0.1,12.93,2.785,0.355,0.736
RBF,10,0.0001,0.5,13.352,2.833,0.333,0.743
RBF,10,0.0001,0.8,14.433,2.963,0.279,0.735
RBF,15,0.1,0.001,11.63,2.708,0.418,0.665
RBF,15,0.1,0.01,11.569,2.7,0.421,0.666
RBF,15,0.1,0.1,11.156,2.647,0.441,0.674
RBF,15,0.1,0.5,10.369,2.507,0.482,0.695
RBF,15,0.1,0.8,10.618,2.614,0.47,0.691
RBF,15,0.01,0.001,9.061,2.377,0.545,0.741
RBF,15,0.01,0.01,9.085,2.381,0.544,0.74
RBF,15,0.01,0.1,9.122,2.376,0.541,0.739
RBF,15,0.01,0.5,8.239,2.306,0.587,0.771
RBF,15,0.01,0.8,8.575,2.338,0.57,0.757
RBF,15,0.001,0.001,9.534,2.404,0.519,0.728
RBF,15,0.001,0.01,9.528,2.406,0.519,0.728
RBF,15,0.001,0.1,9.544,2.423,0.519,0.726
RBF,15,0.001,0.5,9.413,2.43,0.528,0.741
RBF,15,0.001,0.8,9.28,2.417,0.534,0.743
RBF,15,0.0001,0.001,11.745,2.653,0.413,0.736
RBF,15,0.0001,0.01,11.726,2.649,0.413,0.736
RBF,15,0.0001,0.1,11.738,2.649,0.414,0.739
RBF,15,0.0001,0.5,12.458,2.734,0.378,0.745
RBF,15,0.0001,0.8,13.219,2.862,0.34,0.732
RBF,20,0.1,0.001,11.793,2.734,0.411,0.665
RBF,20,0.1,0.01,11.746,2.727,0.413,0.666
RBF,20,0.1,0.1,11.43,2.686,0.428,0.67
RBF,20,0.1,0.5,10.563,2.526,0.472,0.689
RBF,20,0.1,0.8,10.618,2.614,0.47,0.691
RBF,20,0.01,0.001,9.283,2.397,0.534,0.736
RBF,20,0.01,0.01,9.298,2.4,0.533,0.735
RBF,20,0.01,0.1,9.389,2.403,0.528,0.732
RBF,20,0.01,0.5,8.149,2.291,0.591,0.773
RBF,20,0.01,0.8,8.591,2.329,0.569,0.757
RBF,20,0.001,0.001,9.608,2.416,0.515,0.724
RBF,20,0.001,0.01,9.628,2.417,0.514,0.723
RBF,20,0.001,0.1,9.619,2.435,0.515,0.723
RBF,20,0.001,0.5,9.455,2.44,0.525,0.736
RBF,20,0.001,0.8,9.15,2.401,0.54,0.744
RBF,20,0.0001,0.001,11.069,2.575,0.446,0.736
RBF,20,0.0001,0.01,11.121,2.581,0.443,0.736
RBF,20,0.0001,0.1,10.925,2.573,0.453,0.738
RBF,20,0.0001,0.5,11.377,2.617,0.432,0.744
RBF,20,0.0001,0.8,12.337,2.773,0.384,0.731
